Office Name,PIN Code,Office Type,Delivery Status,Division,Region,Circle,Taluk,District,State
"Kolhapur HO","416001","H.O","Delivery","Kolhapur","Pune","Maharashtra","Kolhapur","KOLHAPUR","MAHARASHTRA"
"Solapur HO","413001","H.O","Delivery","Solapur","Pune","Maharashtra","Solapur","SOLAPUR","MAHARASHTRA"
"Satara HO","415001","H.O","Delivery","Satara","Pune","Maharashtra","Satara","SATARA","MAHARASHTRA"
"Sangli HO","416416","H.O","Delivery","Sangli","Pune","Maharashtra","Sangli","SANGLI","MAHARASHTRA"
"Amravati HO","444601","H.O","Delivery","Amravati","Nagpur","Maharashtra","Amravati","AMRAVATI","MAHARASHTRA"
"Chennai GPO","600001","H.O","Delivery","Chennai","Chennai","Tamil Nadu","Chennai","CHENNAI","TAMIL NADU"
"T Nagar","600017","S.O","Delivery","Chennai","Chennai","Tamil Nadu","Chennai","CHENNAI","TAMIL NADU"
"Adyar","600020","S.O","Delivery","Chennai","Chennai","Tamil Nadu","Chennai","CHENNAI","TAMIL NADU"
"Anna Nagar","600040","S.O","Delivery","Chennai","Chennai","Tamil Nadu","Chennai","CHENNAI","TAMIL NADU"
"Velachery","600042","S.O","Non-Delivery","Chennai","Chennai","Tamil Nadu","Chennai","CHENNAI","TAMIL NADU"
"Tambaram","600045","S.O","Delivery","Chennai","Chennai","Tamil Nadu","Tambaram","CHENNAI","TAMIL NADU"
"Coimbatore GPO","641001","H.O","Delivery","Coimbatore","Coimbatore","Tamil Nadu","Coimbatore","COIMBATORE","TAMIL NADU"
"RS Puram","641002","S.O","Delivery","Coimbatore","Coimbatore","Tamil Nadu","Coimbatore","COIMBATORE","TAMIL NADU"
"Madurai GPO","625001","H.O","Delivery","Madurai","Madurai","Tamil Nadu","Madurai","MADURAI","TAMIL NADU"
"Trichy GPO","620001","H.O","Delivery","Trichy","Trichy","Tamil Nadu","Trichy","TIRUCHIRAPPALLI","TAMIL NADU"
"Salem HO","636001","H.O","Delivery","Salem","Salem","Tamil Nadu","Salem","SALEM","TAMIL NADU"
"Tirunelveli HO","627001","H.O","Delivery","Tirunelveli","Madurai","Tamil Nadu","Tirunelveli","TIRUNELVELI","TAMIL NADU"
"Vellore HO","632001","H.O","Delivery","Vellore","Chennai","Tamil Nadu","Vellore","VELLORE","TAMIL NADU"
"Erode HO","638001","H.O","Delivery","Erode","Salem","Tamil Nadu","Erode","ERODE","TAMIL NADU"
"Thanjavur HO","613001","H.O","Delivery","Thanjavur","Trichy","Tamil Nadu","Thanjavur","THANJAVUR","TAMIL NADU"
"Bangalore GPO","560001","H.O","Delivery","Bangalore","Bangalore","Karnataka","Bangalore North","BANGALORE","KARNATAKA"
"Koramangala","560034","S.O","Delivery","Bangalore","Bangalore","Karnataka","Bangalore South","BANGALORE","KARNATAKA"
"Whitefield","560066","S.O","Delivery","Bangalore","Bangalore","Karnataka","Bangalore East","BANGALORE","KARNATAKA"
"Electronic City","560100","B.O","Delivery","Bangalore","Bangalore","Karnataka","Bangalore South","BANGALORE","KARNATAKA"
"HSR Layout","560102","S.O","Non-Delivery","Bangalore","Bangalore","Karnataka","Bangalore South","BANGALORE","KARNATAKA"
"Mysore GPO","570001","H.O","Delivery","Mysore","Mysore","Karnataka","Mysore","MYSORE","KARNATAKA"
"Hubli HO","580001","H.O","Delivery","Hubli","North Karnataka","Karnataka","Hubli","DHARWAD","KARNATAKA"
"Mangalore HO","575001","H.O","Delivery","Mangalore","South Karnataka","Karnataka","Mangalore","DAKSHINA KANNADA","KARNATAKA"
"Belgaum HO","590001","H.O","Delivery","Belgaum","North Karnataka","Karnataka","Belgaum","BELGAUM","KARNATAKA"
"Gulbarga HO","585101","H.O","Delivery","Gulbarga","North Karnataka","Karnataka","Gulbarga","GULBARGA","KARNATAKA"
"Jaipur GPO","302001","H.O","Delivery","Jaipur","Jaipur","Rajasthan","Jaipur","JAIPUR","RAJASTHAN"
"Malviya Nagar Jaipur","302017","S.O","Delivery","Jaipur","Jaipur","Rajasthan","Jaipur","JAIPUR","RAJASTHAN"
"Mansarovar","302020","S.O","Delivery","Jaipur","Jaipur","Rajasthan","Jaipur","JAIPUR","RAJASTHAN"
"Jodhpur GPO","342001","H.O","Delivery","Jodhpur","Jodhpur","Rajasthan","Jodhpur","JODHPUR","RAJASTHAN"
"Udaipur HO","313001","H.O","Delivery","Udaipur","Udaipur","Rajasthan","Udaipur","UDAIPUR","RAJASTHAN"
"Kota HO","324001","H.O","Delivery","Kota","Kota","Rajasthan","Kota","KOTA","RAJASTHAN"
"Ajmer HO","305001","H.O","Delivery","Ajmer","Jaipur","Rajasthan","Ajmer","AJMER","RAJASTHAN"
"Bikaner HO","334001","H.O","Delivery","Bikaner","Jodhpur","Rajasthan","Bikaner","BIKANER","RAJASTHAN"
"Alwar HO","301001","H.O","Non-Delivery","Alwar","Jaipur","Rajasthan","Alwar","ALWAR","RAJASTHAN"
"Bharatpur HO","321001","H.O","Delivery","Bharatpur","Jaipur","Rajasthan","Bharatpur","BHARATPUR","RAJASTHAN"
"New Delhi GPO","110001","H.O","Delivery","New Delhi","Delhi","Delhi","New Delhi","NEW DELHI","DELHI"
"Connaught Place","110001","S.O","Delivery","New Delhi","Delhi","Delhi","New Delhi","NEW DELHI","DELHI"
"Saket","110017","S.O","Delivery","South Delhi","Delhi","Delhi","South Delhi","SOUTH DELHI","DELHI"
"Dwarka","110075","S.O","Delivery","South West Delhi","Delhi","Delhi","South West Delhi","SOUTH WEST DELHI","DELHI"
"Rohini","110085","S.O","Delivery","North West Delhi","Delhi","Delhi","North West Delhi","NORTH WEST DELHI","DELHI"
"Laxmi Nagar","110092","S.O","Non-Delivery","East Delhi","Delhi","Delhi","East Delhi","EAST DELHI","DELHI"
"Pitampura","110034","S.O","Delivery","North West Delhi","Delhi","Delhi","North West Delhi","NORTH WEST DELHI","DELHI"
"Janakpuri","110058","S.O","Delivery","West Delhi","Delhi","Delhi","West Delhi","WEST DELHI","DELHI"
"Lucknow GPO","226001","H.O","Delivery","Lucknow","Lucknow","Uttar Pradesh","Lucknow","LUCKNOW","UTTAR PRADESH"
"Gomti Nagar","226010","S.O","Delivery","Lucknow","Lucknow","Uttar Pradesh","Lucknow","LUCKNOW","UTTAR PRADESH"
"Noida","201301","S.O","Delivery","Ghaziabad","Bareilly","Uttar Pradesh","Dadri","GAUTAM BUDDHA NAGAR","UTTAR PRADESH"
"Greater Noida","201310","S.O","Delivery","Ghaziabad","Bareilly","Uttar Pradesh","Dadri","GAUTAM BUDDHA NAGAR","UTTAR PRADESH"
"Agra GPO","282001","H.O","Delivery","Agra","Agra","Uttar Pradesh","Agra","AGRA","UTTAR PRADESH"
"Varanasi GPO","221001","H.O","Delivery","Varanasi","Varanasi","Uttar Pradesh","Varanasi","VARANASI","UTTAR PRADESH"
"Kanpur GPO","208001","H.O","Delivery","Kanpur","Lucknow","Uttar Pradesh","Kanpur","KANPUR NAGAR","UTTAR PRADESH"
"Allahabad HO","211001","H.O","Delivery","Allahabad","Varanasi","Uttar Pradesh","Allahabad","ALLAHABAD","UTTAR PRADESH"
"Ghaziabad HO","201001","H.O","Non-Delivery","Ghaziabad","Bareilly","Uttar Pradesh","Ghaziabad","GHAZIABAD","UTTAR PRADESH"
"Meerut HO","250001","H.O","Delivery","Meerut","Bareilly","Uttar Pradesh","Meerut","MEERUT","UTTAR PRADESH"
"Kolkata GPO","700001","H.O","Delivery","Kolkata","Kolkata","West Bengal","Kolkata","KOLKATA","WEST BENGAL"
"Salt Lake","700091","S.O","Delivery","Kolkata","Kolkata","West Bengal","Kolkata","KOLKATA","WEST BENGAL"
"Howrah HO","711101","H.O","Delivery","Howrah","Kolkata","West Bengal","Howrah","HOWRAH","WEST BENGAL"
"Siliguri HO","734001","H.O","Delivery","Siliguri","North Bengal","West Bengal","Siliguri","DARJEELING","WEST BENGAL"
"Durgapur HO","713201","H.O","Delivery","Durgapur","Burdwan","West Bengal","Durgapur","BURDWAN","WEST BENGAL"
"Asansol HO","713301","H.O","Non-Delivery","Asansol","Burdwan","West Bengal","Asansol","BURDWAN","WEST BENGAL"
"Hyderabad GPO","500001","H.O","Delivery","Hyderabad","Hyderabad","Telangana","Hyderabad","HYDERABAD","TELANGANA"
"HITEC City","500081","S.O","Delivery","Hyderabad","Hyderabad","Telangana","Serilingampally","HYDERABAD","TELANGANA"
"Gachibowli","500032","S.O","Delivery","Hyderabad","Hyderabad","Telangana","Serilingampally","HYDERABAD","TELANGANA"
"Secunderabad HO","500003","H.O","Delivery","Secunderabad","Hyderabad","Telangana","Secunderabad","HYDERABAD","TELANGANA"
"Warangal HO","506001","H.O","Delivery","Warangal","Warangal","Telangana","Warangal","WARANGAL","TELANGANA"
"Karimnagar HO","505001","H.O","Non-Delivery","Karimnagar","Warangal","Telangana","Karimnagar","KARIMNAGAR","TELANGANA"
"Khammam HO","507001","H.O","Delivery","Khammam","Warangal","Telangana","Khammam","KHAMMAM","TELANGANA"
"Adilabad HO","504001","H.O","Delivery","Adilabad","Warangal","Telangana","Adilabad","ADILABAD","TELANGANA"
"Mancherial","504208","S.O","Delivery","Adilabad","Warangal","Telangana","Mancherial","ADILABAD","TELANGANA"
"Nirmal","504106","S.O","Delivery","Adilabad","Warangal","Telangana","Nirmal","ADILABAD","TELANGANA"
"Bellampalli","504251","S.O","Non-Delivery","Adilabad","Warangal","Telangana","Bellampalli","ADILABAD","TELANGANA"
"Utnoor","504293","B.O","Delivery","Adilabad","Warangal","Telangana","Utnoor","ADILABAD","TELANGANA"
"Thiruvananthapuram GPO","695001","H.O","Delivery","Thiruvananthapuram","Thiruvananthapuram","Kerala","Thiruvananthapuram","THIRUVANANTHAPURAM","KERALA"
"Kochi GPO","682001","H.O","Delivery","Kochi","Kochi","Kerala","Kochi","ERNAKULAM","KERALA"
"Kozhikode HO","673001","H.O","Delivery","Kozhikode","Kozhikode","Kerala","Kozhikode","KOZHIKODE","KERALA"
"Thrissur HO","680001","H.O","Delivery","Thrissur","Kochi","Kerala","Thrissur","THRISSUR","KERALA"
"Kannur HO","670001","H.O","Delivery","Kannur","Kozhikode","Kerala","Kannur","KANNUR","KERALA"
"Kollam HO","691001","H.O","Non-Delivery","Kollam","Thiruvananthapuram","Kerala","Kollam","KOLLAM","KERALA"
